cve_id,affected_vendor,vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9919,Apple,Apple macOS ImageIO PIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 SIM2 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-9876,Apple,Apple macOS ImageIO TIF File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9887,Apple,Apple macOS AppleVPA JPEG Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-3988,VMware,VMware Workstation ThinPrint JPEG2000 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3987,VMware,VMware Workstation ThinPrint EMR_STRETCHDIBITS Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3986,VMware,VMware Workstation ThinPrint EMF Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3990,VMware,VMware Workstation ThinPrint TTCHeader Integer Overflow Information Disclosure Vulnerability
CVE-2020-3989,VMware,VMware Workstation ThinPrint name Table Integer Overflow Privilege Escalation Vulnerability
CVE-2020-17409,NETGEAR,NETGEAR Multiple Routers mini_httpd Authentication Bypass Vulnerability
CVE-2020-0997,Microsoft,Microsoft Windows Camera Codec Pack Image Processing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fatek Automation,(0Day) Fatek Automation PLC WinProladder TAB File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fatek Automation,(0Day) Fatek Automation PLC WinProladder SPF File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6361,SAP,SAP 3D Visual Enterprise Viewer RLE File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6360,SAP,SAP 3D Visual Enterprise Viewer DIB File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6359,SAP,SAP 3D Visual Enterprise Viewer PLT File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6358,SAP,SAP 3D Visual Enterprise Viewer FBX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6357,SAP,SAP 3D Visual Enterprise Viewer U3D File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6350,SAP,SAP 3D Visual Enterprise Viewer BMP File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6349,SAP,SAP 3D Visual Enterprise Viewer GIF File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6348,SAP,SAP 3D Visual Enterprise Viewer GIF File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6347,SAP,SAP 3D Visual Enterprise Viewer HDR File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6346,SAP,SAP 3D Visual Enterprise Viewer BMP File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6356,SAP,SAP 3D Visual Enterprise Viewer BMP File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6355,SAP,SAP 3D Visual Enterprise Viewer TGA File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6345,SAP,SAP 3D Visual Enterprise Viewer TGA File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-6336,SAP,SAP 3D Visual Enterprise Viewer PCX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6354,SAP,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6338,SAP,SAP 3D Visual Enterprise Viewer RH File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6339,SAP,SAP 3D Visual Enterprise Viewer BMP File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6337,SAP,SAP 3D Visual Enterprise Viewer HDR File Parsing Memory Corruption Remote Code Execution Vulnerabililty
CVE-2020-6340,SAP,SAP 3D Visual Enterprise Viewer PCX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6341,SAP,SAP 3D Visual Enterprise Viewer EPS File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-6342,SAP,SAP 3D Visual Enterprise Viewer U3D File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6343,SAP,SAP 3D Visual Enterprise Viewer EPS File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6344,SAP,SAP 3D Visual Enterprise Viewer PDF File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6353,SAP,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6352,SAP,SAP 3D Visual Enterprise Viewer FBX File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6351,SAP,SAP 3D Visual Enterprise Viewer FBX File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6335,SAP,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6334,SAP,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6333,SAP,SAP 3D Visual Enterprise Viewer HPGL File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6332,SAP,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6331,SAP,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6314,SAP,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6321,SAP,SAP 3D Visual Enterprise Viewer U3D File Parsing 3difr Plugin Uninitialized Pointer Remote Code Execution Vulnerability
CVE-2020-6322,SAP,SAP 3D Visual Enterprise Viewer 3DM File Parsing rhino Plugin Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-6327,SAP,SAP 3D Visual Enterprise Viewer 3DM File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-6328,SAP,SAP 3D Visual Enterprise Viewer CGM File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6329,SAP,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6330,SAP,SAP 3D Visual Enterprise Viewer 3DM File Parsing rhino Plugin Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-1319,Microsoft,Microsoft Windows WebM Video Parsing Uninitialized Pointer Remote Code Execution Vulnerability
CVE-2020-1594,Microsoft,Microsoft Excel XLS File SST Record Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1193,Microsoft,Microsoft Excel XLS File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-1338,Microsoft,Microsoft Word DOCX File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-0914,Microsoft,Microsoft Windows State Repository Service Race Condition Use-After-Free Information Disclosure Vulnerability
CVE-2020-1129,Microsoft,Microsoft Windows Media Player HEVC Stream Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-1074,Microsoft,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1039,Microsoft,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Multiple Vulnerabilities
CVE-2020-16856,Microsoft,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,Microsoft Visual Studio DDS File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-0908,Microsoft,Microsoft Internet Explorer CTSF3CandidateMessage Use-After-Free Remote Code Execution Vulnerability
CVE-2020-0997,Microsoft,Microsoft Windows Camera Codec Pack Image Processing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-9725,Adobe,Adobe FrameMaker FM File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-9726,Adobe,Adobe FrameMaker FM File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-17408,NEC,NEC ExpressCluster ApplyConfig XML External Entity Processing Information Disclosure Vulnerability
CVE-2020-3453,Cisco,Cisco RV340 upload.cgi Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-3451,Cisco,Cisco RV340 upload.cgi Command Injection Remote Code Execution Vulnerability
,Hewlett Packard Enterprise,(0Day) Hewlett Packard Enterprise Pay per use UCS Meter ReceiverServlet doGet Directory Traversal Information Disclosure Vulnerability
,Hewlett Packard Enterprise,(0Day) Hewlett Packard Enterprise Pay per use UCS Meter DownloadServlet execute Directory Traversal Information Disclosure Vulnerability
,Hewlett Packard Enterprise,(0Day) Hewlett Packard Enterprise Pay per use UCS Meter ReceiverServlet doPost Directory Traversal Remote Code Execution Vulnerability
CVE-2020-24559,Trend Micro,Trend Micro Apex One Hard Link Privilege Escalation Vulnerability
CVE-2020-24558,Trend Micro,Trend Micro Apex One Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24557,Trend Micro,Trend Micro Apex One Improper Access Control Privilege Escalation Vulnerability
CVE-2020-24556,Trend Micro,Trend Micro Apex One Hard Link Privilege Escalation Vulnerability
CVE-2020-16245,Advantech,Advantech iView NetworkServlet findSummaryCfgDeviceListExport Directory Traversal Remote Code Execution Vulnerability
CVE-2020-16245,Advantech,Advantech iView NetworkServlet findUpdateDeviceListExport Directory Traversal Remote Code Execution Vulnerability
CVE-2020-16245,Advantech,Advantech iView NetworkServlet findCfgDeviceListExport Directory Traversal Remote Code Execution Vulnerability
CVE-2020-16245,Advantech,Advantech iView NetworkServlet findSummaryUpdateDeviceListExport Directory Traversal Remote Code Execution Vulnerability
CVE-2020-16245,Advantech,Advantech iView NetworkServlet backupDatabase Directory Traversal Information Disclosure Vulnerability
CVE-2020-16245,Advantech,Advantech iView TaskMgrTable exportTaskMgrReportDetails Directory Traversal Remote Code Execution Vulnerability
CVE-2020-16245,Advantech,Advantech iView PSTable exportPSInventoryTable Directory Traversal File Creation Vulnerability
CVE-2020-16245,Advantech,Advantech iView DeviceTreeTable exportInventoryTable Directory Traversal File Creation Vulnerability
CVE-2020-16245,Advantech,Advantech iView DeviceTreeTable exportTaskMgrReport Directory Traversal Remote Code Execution Vulnerability
CVE-2020-15605,Trend Micro,Trend Micro Vulnerability Protection Authentication Bypass Vulnerability
CVE-2020-9908,Apple,Apple macOS Intel Graphics Driver Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-1457,Microsoft,Microsoft Windows hevcdecoder_store MKV File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-17405,Senstar,Senstar Symphony SSOAuth Deserialization of Untrusted Data Remote Code Execution Vulnerability
CVE-2020-17404,Foxit,Foxit Studio Photo PSD File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-17403,Foxit,Foxit Studio Photo PSD File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-15601,Trend Micro,Trend Micro Deep Security Manager Authentication Bypass Vulnerability
,WECON,(0Day) WECON LeviStudioU MultiLink bitaddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU Alarm bitaddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU Disc WordAddr3 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU Disc WordAddr4 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU Disc WordAddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU TrendSet WordAddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU AlarmSet bitaddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU AlarmSet WordAddr9 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU WordAlarmSet WordAddr9 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU MultiLink WordAddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU WebSet WordAddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU DiscSet WordAddr2 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU DiscSet WordAddr1 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU XYSet WordAddr Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU XYSet WordAddr2 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU XYSet WordAddr4 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU XYSet WordAddr3 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU XYSet WordAddr1 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU TrendSet WordAddr4 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU TrendSet WordAddr2 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU TrendSet WordAddr3 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,WECON,(0Day) WECON LeviStudioU TrendSet WordAddr1 Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition prefs sync_calendars Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition attendees fb_cals Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition fb fb_cals Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Sort sortpref Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Poll nav_poll Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Remote Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Event event_alarms Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition CalendarsManager _checkDisplayCals Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Search filter Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Search vfolder Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Flags msgflags Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Expanded expanded_folders Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Upgrade upgrade_tasks Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Horde last_logintasks Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Compose reply_lang Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition prefs sync_calendars Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Nag show_external Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Prefs sync_lists Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition prefs sync_lists Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Nag display_tasklists Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition List tasklist_columns Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Task task_alarms Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Nag display_tasklists Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Nag display_tasklists Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Ui generateUI Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Kronolith remote_cals Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Mnemo display_notepads Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition prefs sync_notepads Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Kronolith show_time Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition prefs sync_notepads Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Collection portal_layout Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition Kronolith remote_cals Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition remote_edit remote_cals Deserialization of Untrusted Data Remote Code Execution Vulnerability
,Horde,(0Day) Horde Groupware Webmail Edition remote_unsubscribe remote_cals Deserialization of Untrusted Data Remote Code Execution Vulnerability
CVE-2020-17402,Parallels,Parallels Desktop prl_hypervisor Incorrect Permission Assignment for Critical Resource Information Disclosure Vulnerability
CVE-2020-17401,Parallels,Parallels Desktop VGA Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-17400,Parallels,Parallels Desktop prl_hypervisor Out-Of-Bounds Read Privilege Escalation Vulnerability
CVE-2020-17399,Parallels,Parallels Desktop prl_hypervisor Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-17398,Parallels,Parallels Desktop prl_hypervisor Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-17397,Parallels,Parallels Desktop Networking Out-Of-Bounds Access Privilege Escalation Vulnerability
CVE-2020-17396,Parallels,Parallels Desktop prl_hypervisor Integer Overflow Privilege Escalation Vulnerability
CVE-2020-17395,Parallels,Parallels Desktop Networking Service Integer Underflow Privilege Escalation Vulnerability
CVE-2020-17394,Parallels,Parallels Desktop OEMNet Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-17393,Parallels,Parallels Desktop prl_hypervisor Improper Input Validation Information Disclosure Vulnerability
CVE-2020-17392,Parallels,Parallels Desktop prl_hypervisor Untrusted Pointer Dereference Privilege Escalation Vulnerability
CVE-2020-17391,Parallels,Parallels Desktop prl_hypervisor Exposed Dangerous Method Information Disclosure Vulnerability
CVE-2020-17390,Parallels,Parallels Desktop hypervisor Out-Of-Bounds Read Privilege Escalation Vulnerability
CVE-2020-7522,Schneider Electric,Schneider Electric APC Easy UPS Online SoundUploadServlet processRequest Directory Traversal Remote Code Execution Vulnerability
CVE-2020-7521,Schneider Electric,Schneider Electric APC Easy UPS Online FileUploadServlet processRequest Directory Traversal Remote Code Execution Vulnerability
CVE-2020-10756,QEMU,QEMU SLiRP Networking Out-Of-Bounds Read Information Disclosure Vulnerability
